cluster	asv	Phylum	Class	Order	Family	Genus	OTU
C1	asv209	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae uc	asv209
C1	asv216	Actinobacteriota	Actinobacteria	PeM15	PeM15 uc	PeM15 uc	asv216
C1	asv233	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv233
C1	asv276	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv276
C1	asv320	Verrucomicrobiota	Verrucomicrobiae	Arctic97B-4 marine group	Arctic97B-4 marine group uc	Arctic97B-4 marine group uc	asv320
C1	asv330	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NS7 marine group uc	asv330
C1	asv344	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade uc	SAR202 clade uc	asv344
C1	asv395	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv395
C1	asv400	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv400
C1	asv404	Gemmatimonadota	BD2-11 terrestrial group	BD2-11 terrestrial group uc	BD2-11 terrestrial group uc	BD2-11 terrestrial group uc	asv404
C1	asv436	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	asv436
C1	asv438	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv438
C1	asv439	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade uc	SAR202 clade uc	asv439
C1	asv441	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacterales uc	Vicinamibacterales uc	asv441
C1	asv461	Proteobacteria	Gammaproteobacteria	EPR3968-O8a-Bc78	EPR3968-O8a-Bc78 uc	EPR3968-O8a-Bc78 uc	asv461
C1	asv469	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv469
C1	asv476	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv476
C1	asv527	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv527
C1	asv560	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv560
C1	asv590	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Cand Actinomarina	asv590
C1	asv650	SAR324 clade(Marine group B)	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	asv650
C1	asv656	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	asv656
C1	asv658	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade IV	Clade IV uc	asv658
C1	asv676	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv676
C1	asv691	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae uc	asv691
C1	asv750	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv750
C1	asv787	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	asv787
C1	asv820	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NS7 marine group uc	asv820
C1	asv852	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade uc	SAR202 clade uc	asv852
C1	asv854	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv854
C1	asv878	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv878
C1	asv965	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv965
C1	asv966	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66 uc	JG30-KF-CM66 uc	JG30-KF-CM66 uc	asv966
C1	asv1000	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv1000
C1	asv1005	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculaceae	Parvibaculaceae uc	asv1005
C1	asv1063	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculaceae	Parvibaculaceae uc	asv1063
C1	asv1102	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv1102
C1	asv1122	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	asv1122
C1	asv1132	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	JL-ETNP-F27	asv1132
C1	asv1206	SAR324 clade(Marine group B)	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	asv1206
C1	asv1223	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	ML602J-51	asv1223
C1	asv1296	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Gimesiaceae uc	asv1296
C1	asv1313	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	asv1313
C1	asv1317	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	asv1317
C1	asv1360	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv1360
C1	asv1367	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1367
C1	asv1369	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv1369
C1	asv1380	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1380
C1	asv1399	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae uc	asv1399
C1	asv1426	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	asv1426
C1	asv1458	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Cand Actinomarina	asv1458
C1	asv1487	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1487
C1	asv1536	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Clade III uc	asv1536
C1	asv1546	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	asv1546
C1	asv1550	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv1550
C1	asv1576	Proteobacteria	Gammaproteobacteria	Ga0077536	Ga0077536 uc	Ga0077536 uc	asv1576
C1	asv1609	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv1609
C1	asv1622	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	asv1622
C1	asv1724	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv1724
C1	asv1753	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1753
C1	asv1763	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1763
C1	asv1787	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	asv1787
C1	asv1826	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc	asv1826
C1	asv1847	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	asv1847
C1	asv1858	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1858
C1	asv2001	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv2001
C1	asv2030	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv2030
C1	asv2150	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv2150
C1	asv2328	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II uc	Marine Group II uc	asv2328
C1	asv2373	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv2373
C1	asv2401	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Rubinisphaeraceae uc	asv2401
C1	asv2490	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv2490
C1	asv2626	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria uc	Alphaproteobacteria uc	Alphaproteobacteria uc	asv2626
C1	asv2643	Firmicutes	Bacilli	Entomoplasmatales	Entomoplasmatales Incertae Sedis	Cand Hepatoplasma	asv2643
C1	asv2648	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv2648
C1	asv2659	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv2659
C1	asv2763	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	Thioglobaceae uc	asv2763
C1	asv2874	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	asv2874
C1	asv2880	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv2880
C1	asv3029	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv3029
C1	asv3124	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv3124
C1	asv3162	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacterales uc	Vicinamibacterales uc	asv3162
C1	asv3313	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae uc	asv3313
C1	asv3416	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv3416
C1	asv3762	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv3762
C1	asv3763	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv3763
C1	asv3766	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv3766
C1	asv3793	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv3793
C1	asv3828	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv3828
C1	asv3832	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv3832
C1	asv3836	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv3836
C1	asv3871	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv3871
C1	asv3896	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Cand Megaira	asv3896
C1	asv3966	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	asv3966
C1	asv3975	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv3975
C1	asv4276	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv4276
C1	asv4614	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	asv4614
C1	asv4633	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv4633
C1	asv4995	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	Cand Puniceispirillum	asv4995
C1	asv5058	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv5058
C1	asv5156	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	asv5156
C1	asv5302	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01	asv5302
C1	asv5342	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv5342
C1	asv5372	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisellaceae uc	asv5372
C1	asv5440	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	asv5440
C1	asv5454	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv5454
C1	asv5582	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv5582
C1	asv5900	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv5900
C1	asv6040	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv6040
C1	asv6113	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv6113
C1	asv6142	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv6142
C1	asv6254	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv6254
C1	asv6362	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales uc	Rickettsiales uc	asv6362
C1	asv6545	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv6545
C1	asv6826	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisellaceae uc	asv6826
C1	asv7150	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	asv7150
C1	asv8484	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv8484
C1	asv10666	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	ML602J-51	asv10666
C1	asv11493	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	asv11493
C1	asv12129	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	asv12129
C1	asv14039	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae uc	asv14039
C1	asv14040	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	asv14040
C2	asv69	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv69
C2	asv83	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv83
C2	asv240	SAR324 clade(Marine group B)	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	asv240
C2	asv254	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv254
C2	asv346	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv346
C2	asv484	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	asv484
C2	asv492	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv492
C2	asv683	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	asv683
C2	asv758	SAR324 clade(Marine group B)	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	asv758
C2	asv813	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv813
C2	asv845	Proteobacteria	Proteobacteria uc	Proteobacteria uc	Proteobacteria uc	Proteobacteria uc	asv845
C2	asv881	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv881
C2	asv930	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Ectothiorhodospiraceae uc	asv930
C2	asv982	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv982
C2	asv1009	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Ectothiorhodospiraceae uc	asv1009
C2	asv1159	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	asv1159
C2	asv1617	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv1617
C2	asv1901	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv1901
C2	asv2040	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv2040
C2	asv2177	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv2177
C2	asv2307	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv2307
C2	asv3474	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv3474
C3	asv18	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	asv18
C3	asv38	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv38
C3	asv160	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116 clade	OCS116 clade uc	asv160
C3	asv396	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv396
C3	asv425	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv425
C3	asv536	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	asv536
C3	asv561	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria uc	Alphaproteobacteria uc	Alphaproteobacteria uc	asv561
C3	asv765	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv765
C3	asv896	Proteobacteria	Gammaproteobacteria	Ga0077536	Ga0077536 uc	Ga0077536 uc	asv896
C3	asv1343	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group uc	asv1343
C3	asv1370	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group uc	asv1370
C3	asv1372	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1372
C3	asv1952	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	asv1952
C3	asv2378	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv2378
C3	asv4398	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group uc	asv4398
C4	asv1	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv1
C4	asv2	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05 cluster	asv2
C4	asv6	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae uc	asv6
C4	asv8	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand Nitrosopumilus	asv8
C4	asv21	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv21
C4	asv39	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv39
C4	asv41	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv41
C4	asv50	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	asv50
C4	asv53	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae uc	asv53
C4	asv57	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv57
C4	asv59	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv59
C4	asv61	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv61
C4	asv71	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv71
C4	asv80	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv80
C4	asv122	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv122
C4	asv134	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv134
C4	asv138	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	asv138
C4	asv144	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv144
C4	asv158	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc	asv158
C4	asv170	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv170
C4	asv172	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiotrichaceae uc	asv172
C4	asv183	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv183
C4	asv202	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv202
C4	asv224	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv224
C4	asv231	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv231
C4	asv244	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus	asv244
C4	asv251	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv251
C4	asv265	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv265
C4	asv297	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv297
C4	asv303	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv303
C4	asv318	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv318
C4	asv332	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv332
C4	asv378	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv378
C4	asv398	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade IV	Clade IV uc	asv398
C4	asv411	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv411
C4	asv453	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv453
C4	asv473	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv473
C4	asv475	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv475
C4	asv485	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv485
C4	asv505	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv505
C4	asv510	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv510
C4	asv516	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv516
C4	asv533	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv533
C4	asv540	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv540
C4	asv567	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv567
C4	asv593	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv593
C4	asv610	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv610
C4	asv627	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv627
